source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,significant_ttest (mean_p<0.05),roc_positive_class_for_metrics,n_ACM_initial,n_healthy_initial,p_value_mean,p_value_ui_lower,p_value_ui_upper,t_stat_mean,t_stat_ui_lower,t_stat_ui_upper,threshold_mean,threshold_ui_lower,threshold_ui_upper,sensitivity_mean,sensitivity_ui_lower,sensitivity_ui_upper,specificity_mean,specificity_ui_lower,specificity_ui_upper,f1_score_mean,f1_score_ui_lower,f1_score_ui_upper,auc_mean,auc_ui_lower,auc_ui_upper,projection,sensor_or_region,q_value_fdr,significant_fdr_q<0.05,robust_after_fdr_and_mc_ui
F0_yz,T,Area_Net,t_Area_Net,not_equal,False,5000,True,Healthy,8,9,0.003874080185011677,0.001996286465612609,0.007155143919835399,3.9296603644340853,3.4644947414933647,4.36894071908089,35.87707813057842,28.605432825658742,49.12514175446117,0.8768,0.7777777777777778,0.8888888888888888,0.996425,0.875,1.0,0.9324810457516339,0.875,0.9411764705882353,0.9558972222222223,0.9305555555555556,0.9583333333333333,yz,F0,0.01975093306011754,True,True
F0_yz,T,Area_Hull,t_Area_Hull,not_equal,False,5000,True,Healthy,8,9,0.0036426703194992927,0.0009900382583375856,0.009037789472266867,4.072318997910749,3.353627075627207,4.874486623757291,48.15172617217819,25.399328599351435,61.27605490940513,0.8774444444444445,0.7777777777777778,0.8888888888888888,0.99895,1.0,1.0,0.9338680753353972,0.875,0.9411764705882353,0.9638305555555555,0.9444444444444444,0.9861111111111112,yz,F0,0.01457068127799717,True,True
F0_yz,T,Solidity,t_Solidity,not_equal,False,5000,False,Healthy,8,9,0.5926931454649961,0.2652167040785325,0.9705181394706155,0.5652186011757505,-0.08559008000729289,1.1779233249176342,0.6054355836505302,0.3193907438754227,0.9232795273177713,0.8977305555555557,0.5,1.0,0.3924388888888889,0.25,0.8888888888888888,0.7330193449174927,0.631578947368421,0.782608695652174,0.47949444444444445,0.3611111111111111,0.6388888888888888,yz,F0,0.7562590945038713,False,False
F0_yz,T,Distance,t_Distance,not_equal,False,5000,True,Healthy,8,9,0.031573063566955904,0.0067990757035364694,0.08360049386731347,2.643850641433,1.943601892134082,3.428003507148697,11.263043521336778,7.958018949954172,18.48607832198401,0.7361555555555555,0.4444444444444444,1.0,0.934525,0.75,1.0,0.814232913132619,0.6153846153846154,0.9473684210526315,0.84665,0.7222222222222222,0.9583333333333334,yz,F0,0.06314612713391181,False,False
F0_yz,T,Compact,t_Compact,not_equal,False,5000,False,Healthy,8,9,0.1725408596799802,0.04481336645281254,0.4225339773610367,1.5124439768567515,0.8293648379364721,2.1918506100519908,0.29752932217052613,0.0670521946587899,0.5454664753136388,0.7229777777777777,0.4444444444444444,1.0,0.7202,0.375,1.0,0.7257988111128338,0.6153846153846154,0.8,0.7168861111111111,0.625,0.7916666666666667,yz,F0,0.6901634387199208,False,False
F0_yz,T,Angle,t_Angle,not_equal,False,5000,False,ACM,8,9,0.6230892422362398,0.2343130156965096,0.9793792191104399,-0.4928238665855291,-1.2506994413758776,0.28417127869039777,14.210983969757404,-155.10891246846433,161.85531710070802,0.5489944444444446,0.25,1.0,0.8059166666666667,0.375,1.0,0.6070349699894039,0.4,0.8181818181818182,0.5552111111111111,0.4444444444444445,0.6805555555555556,yz,F0,0.7121019911271312,False,False
F0_yz,QRS,Area_Net,qrs_Area_Net,not_equal,False,5000,False,Healthy,8,9,0.10560134303691013,0.06351810216573395,0.15276452160440368,1.838391149310195,1.5798191888661195,2.150051830784887,93.03650266346375,31.302014573048975,143.10498819028342,0.6172666666666666,0.5555555555555556,0.8888888888888888,0.982975,0.75,1.0,0.7530328685779305,0.7142857142857143,0.8421052631578947,0.8049666666666667,0.7361111111111112,0.875,yz,F0,0.13420383210199646,False,False
F0_yz,QRS,Area_Hull,qrs_Area_Hull,not_equal,False,5000,False,Healthy,8,9,0.10462892730645883,0.06127553918779052,0.1560356798456344,1.844854143139848,1.5644374328903765,2.1679656715660265,74.7445640939908,30.489047678600514,148.49522939922326,0.7726444444444445,0.5555555555555556,1.0,0.82495,0.5,1.0,0.791150517746787,0.7142857142857143,0.9,0.8361361111111111,0.7638888888888888,0.9166666666666666,yz,F0,0.12078468935975403,False,False
F0_yz,QRS,Solidity,qrs_Solidity,not_equal,False,5000,False,Healthy,8,9,0.7164277490491655,0.32702017417989393,0.9859145670349166,0.21351536008333696,-0.6575974476301725,1.0050905994514467,0.8666662138742844,0.5392585506242425,1.010717654465321,0.6783611111111111,0.2222222222222222,1.0,0.5911916666666667,0.125,1.0,0.6359588711303952,0.36363636363636365,0.75,0.5404472222222222,0.41666666666666663,0.6666666666666667,yz,F0,0.7168654870155665,False,False
F0_yz,QRS,Distance,qrs_Distance,not_equal,False,5000,True,Healthy,8,9,0.0187289028416395,0.004695282611438867,0.04736672247395854,2.849455164136611,2.2030758423632713,3.5686347614263934,18.90520896501292,14.083821384384155,25.804755210555573,0.8821333333333332,0.6666666666666666,1.0,0.812525,0.625,1.0,0.8586780427140799,0.75,0.9473684210526315,0.8712305555555555,0.7916666666666666,0.9305555555555556,yz,F0,0.037457805683279,True,True
