source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,significant_ttest (mean_p<0.05),roc_positive_class_for_metrics,n_ACM_initial,n_healthy_initial,p_value_mean,p_value_ui_lower,p_value_ui_upper,t_stat_mean,t_stat_ui_lower,t_stat_ui_upper,threshold_mean,threshold_ui_lower,threshold_ui_upper,sensitivity_mean,sensitivity_ui_lower,sensitivity_ui_upper,specificity_mean,specificity_ui_lower,specificity_ui_upper,f1_score_mean,f1_score_ui_lower,f1_score_ui_upper,auc_mean,auc_ui_lower,auc_ui_upper
aggregated_TopRight_xy,T,Area_Net,t_Area_Net,not_equal,False,5000,True,Healthy,9,12,0.007809555472045119,0.002497738836057524,0.018389178058837698,3.2962578813215777,2.7501929031279992,3.8637919572311454,11.416334698682801,5.174714287075861,29.661198098380215,0.8101333333333333,0.5833333333333334,0.9166666666666666,0.9250888888888891,0.7777777777777778,1.0,0.865861934163472,0.7368421052631579,0.9565217391304348,0.8826555555555556,0.787037037037037,0.9444444444444444
aggregated_TopRight_xy,T,Area_Hull,t_Area_Hull,not_equal,False,5000,True,Healthy,9,12,0.0022684556455496324,0.0005745334150259423,0.00643322036518536,3.978586167234267,3.2718599045523513,4.665592478475052,18.894145892120598,10.162733271626742,28.10662705041908,0.8438666666666668,0.75,0.9166666666666666,0.9490888888888889,0.7777777777777778,1.0,0.8960558815814238,0.8181818181818182,0.9565217391304348,0.9015851851851853,0.8240740740740741,0.9351851851851851
aggregated_TopRight_xy,T,Solidity,t_Solidity,not_equal,False,5000,False,Healthy,9,12,0.6123479655064775,0.2148725597465152,0.9770226122280459,0.5037327957585447,-0.3560904412925424,1.3105283995188557,0.6209733582836945,0.3572360255097293,0.9764834864576281,0.7918555555555555,0.3333333333333333,1.0,0.5123444444444444,0.2222222222222222,1.0,0.7162284712307866,0.42857142857142855,0.8275862068965517,0.5524166666666666,0.4722222222222222,0.6481481481481481
aggregated_TopRight_xy,T,Distance,t_Distance,not_equal,False,5000,True,Healthy,9,12,0.038928969462661576,0.0028340040739251566,0.15361238513674133,2.4715178246319103,1.4912333425772513,3.5336355926507994,8.341564945117474,5.771835775250299,11.490420794483114,0.7032,0.5,0.8333333333333334,0.8762,0.6666666666666666,1.0,0.7799353029523834,0.6666666666666666,0.8695652173913043,0.757512962962963,0.6574074074074073,0.8518518518518519
aggregated_TopRight_xy,T,Compact,t_Compact,not_equal,False,5000,False,Healthy,9,12,0.06799793002610952,0.008919389342340175,0.2129156032059438,2.079411037593104,1.2891565693049374,2.924674072521039,0.24273718537006062,0.13893590360241542,0.3561112087018781,0.7964333333333334,0.5833333333333334,1.0,0.7673111111111112,0.5555555555555556,0.8888888888888888,0.8040189728380754,0.7,0.8888888888888888,0.768774074074074,0.6574074074074074,0.8611111111111112
aggregated_TopRight_xy,T,Angle,t_Angle,not_equal,False,5000,False,ACM,9,12,0.6047109819795867,0.22688289836216388,0.9734985157080753,-0.5332431960395293,-1.2644269683130065,0.20771137917268176,-12.404930927163601,-122.89911629700609,85.50482920715525,0.46982222222222225,0.2222222222222222,1.0,0.8010555555555555,0.25,1.0,0.5329589782647086,0.36363636363636365,0.7857142857142857,0.5190666666666666,0.42592592592592593,0.6203703703703705
aggregated_TopRight_xy,QRS,Area_Net,qrs_Area_Net,not_equal,False,5000,True,Healthy,9,12,0.03025118419417201,0.012572751291060101,0.0628129576786212,2.4673835911779474,2.0234089665687587,2.9144595385236816,42.17749879118132,19.583361230318797,97.5341693604194,0.7549333333333333,0.5833333333333334,0.9166666666666666,0.8203333333333332,0.6666666666666666,1.0,0.7961868623117457,0.7,0.8695652173913043,0.7868240740740741,0.7222222222222222,0.8425925925925926
aggregated_TopRight_xy,QRS,Area_Hull,qrs_Area_Hull,not_equal,False,5000,True,Healthy,9,12,0.03074396417945207,0.01208299593289345,0.06728492245692358,2.4553388618060477,1.9654724359391602,2.921383406029116,57.668243781442385,30.769705801151847,100.01346639197843,0.7741,0.5833333333333334,0.9166666666666666,0.8033555555555555,0.6666666666666666,0.8888888888888888,0.8039247681313069,0.7,0.8695652173913043,0.7864944444444444,0.7314814814814814,0.8333333333333334
aggregated_TopRight_xy,QRS,Solidity,qrs_Solidity,not_equal,False,5000,False,ACM,9,12,0.6297560974007334,0.13822431672368116,0.9844158637137835,-0.22139969606526388,-1.542691543900292,1.0248889773358751,0.7812470168640384,0.49894478823762983,0.984103371274258,0.6928166666666666,0.25,1.0,0.6130611111111112,0.2222222222222222,1.0,0.6176847063006151,0.4,0.7741935483870968,0.5493703703703704,0.4444444444444444,0.6666666666666666
aggregated_TopRight_xy,QRS,Distance,qrs_Distance,not_equal,False,5000,True,Healthy,9,12,0.010939723200938837,0.001274293831482836,0.039712634396084336,2.995171277422064,2.2107885913948615,3.8258614340892794,21.613389944874747,11.7572423636197,29.675596866216136,0.68865,0.5,0.9166666666666666,0.8863555555555555,0.5555555555555556,1.0,0.7724312979398578,0.6666666666666666,0.8571428571428571,0.8150592592592593,0.75,0.8796296296296297
