source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,significant_ttest (mean_p<0.05),roc_positive_class_for_metrics,n_ACM_initial,n_healthy_initial,p_value_mean,p_value_ui_lower,p_value_ui_upper,t_stat_mean,t_stat_ui_lower,t_stat_ui_upper,threshold_mean,threshold_ui_lower,threshold_ui_upper,sensitivity_mean,sensitivity_ui_lower,sensitivity_ui_upper,specificity_mean,specificity_ui_lower,specificity_ui_upper,f1_score_mean,f1_score_ui_lower,f1_score_ui_upper,auc_mean,auc_ui_lower,auc_ui_upper
aggregated_TopLeft_xy,T,Area_Net,t_Area_Net,not_equal,False,5000,False,Healthy,8,12,0.0848189837404286,0.023264386831375956,0.1716290559131748,1.9257919283922293,1.450533115911005,2.548283885355577,16.105022618822,4.295577191477042,23.30340100815074,0.6077,0.4166666666666667,0.9166666666666666,0.894225,0.5,1.0,0.7162961987668782,0.5882352941176471,0.8333333333333334,0.7310208333333333,0.6354166666666667,0.8125
aggregated_TopLeft_xy,T,Area_Hull,t_Area_Hull,not_equal,False,5000,False,Healthy,8,12,0.05399677260798328,0.014404764513713343,0.1135163377477315,2.187108449270167,1.698733188887773,2.8113549378231197,32.532788717102,20.467930868861277,40.56881578476232,0.6329833333333333,0.5,0.75,0.95765,0.75,1.0,0.7603875950826118,0.6666666666666666,0.8181818181818182,0.7762604166666666,0.7083333333333334,0.8333333333333333
aggregated_TopLeft_xy,T,Solidity,t_Solidity,not_equal,False,5000,False,ACM,8,12,0.5821601227885322,0.10118574618243656,0.9809784205437801,-0.5084040833545191,-1.7444685773501962,0.6014196842395382,0.6343474030104193,0.3082925271391555,0.9757815835460003,0.62045,0.25,1.0,0.6765583333333333,0.25,1.0,0.5884502756310057,0.36363636363636365,0.8,0.5770375,0.47916666666666663,0.71875
aggregated_TopLeft_xy,T,Distance,t_Distance,not_equal,False,5000,True,Healthy,8,12,0.0359097906286522,0.0034362860443759567,0.13957887283774753,2.491589265942802,1.5480862803640358,3.4387877380655,11.194180020623872,8.624063136667939,15.917787885775587,0.7314,0.4166666666666667,0.9166666666666666,0.87045,0.625,1.0,0.7979192445648805,0.5882352941176471,0.9166666666666666,0.7883395833333334,0.6770833333333334,0.8958333333333333
aggregated_TopLeft_xy,T,Compact,t_Compact,not_equal,False,5000,False,Healthy,8,12,0.19443175614465807,0.039001601763814606,0.5352909604266756,1.457553170338185,0.6326912793577897,2.2404402441672318,0.18104438523328925,0.10883887866010354,0.3228278227984906,0.6148,0.25,0.9166666666666666,0.8031416666666666,0.5,1.0,0.6925956197663885,0.4,0.8333333333333334,0.6571791666666666,0.5208333333333333,0.7916666666666666
aggregated_TopLeft_xy,T,Angle,t_Angle,not_equal,False,5000,False,Healthy,8,12,0.4228012244825463,0.10506702428641075,0.9255519491324479,0.8907145485175825,0.04857784792593994,1.7095047679115847,85.6971149954225,-2.1705361871426883,123.89284527273792,0.5170083333333333,0.25,0.6666666666666666,0.8583166666666666,0.625,1.0,0.6352606665810543,0.4,0.7619047619047619,0.6105770833333334,0.5104166666666667,0.6979166666666667
aggregated_TopLeft_xy,QRS,Area_Net,qrs_Area_Net,not_equal,False,5000,False,Healthy,8,12,0.2668782363727512,0.14218879330634013,0.43735954386282544,1.1730401626733695,0.7953112868985633,1.5538592140872824,46.40332342441029,25.484343062921088,63.8014450081415,0.8546833333333334,0.6666666666666666,0.9166666666666666,0.6309,0.5,0.75,0.8126641333947009,0.7272727272727273,0.88,0.6745270833333334,0.6145833333333333,0.7604166666666666
aggregated_TopLeft_xy,QRS,Area_Hull,qrs_Area_Hull,not_equal,False,5000,False,Healthy,8,12,0.24860175423386172,0.11742218560185119,0.4258065122142905,1.225112771589927,0.8169901342482397,1.6580388381377174,66.90937891067341,48.707620974348686,100.27579752456948,0.8621833333333334,0.6666666666666666,0.9166666666666666,0.646125,0.5,0.875,0.8204186192137133,0.7,0.88,0.6771270833333333,0.59375,0.7708333333333334
aggregated_TopLeft_xy,QRS,Solidity,qrs_Solidity,not_equal,False,5000,False,Healthy,8,12,0.45821512360685246,0.09284708305612327,0.9564110928012438,0.816045354281992,-0.22988119924009215,1.817167831024048,0.7158857502604369,0.4741287219673543,0.9798348393337654,0.67005,0.25,1.0,0.6806583333333334,0.25,1.0,0.692266252193458,0.4,0.8461538461538461,0.6125166666666667,0.48958333333333337,0.7291666666666667
aggregated_TopLeft_xy,QRS,Distance,qrs_Distance,not_equal,False,5000,False,Healthy,8,12,0.09078604248201655,0.018134366857928217,0.24045810532553222,1.8887975566105415,1.2177238796810668,2.6057755535828764,24.655161481993947,16.818728795545983,31.971292757578727,0.6213333333333333,0.4166666666666667,0.8333333333333334,0.8525,0.625,1.0,0.7181033270940227,0.5882352941176471,0.8181818181818182,0.72078125,0.6458333333333334,0.7916666666666666
