source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,significant_ttest (mean_p<0.05),roc_positive_class_for_metrics,n_ACM_initial,n_healthy_initial,p_value_mean,p_value_ui_lower,p_value_ui_upper,t_stat_mean,t_stat_ui_lower,t_stat_ui_upper,threshold_mean,threshold_ui_lower,threshold_ui_upper,sensitivity_mean,sensitivity_ui_lower,sensitivity_ui_upper,specificity_mean,specificity_ui_lower,specificity_ui_upper,f1_score_mean,f1_score_ui_lower,f1_score_ui_upper,auc_mean,auc_ui_lower,auc_ui_upper
aggregated_BottomRight_xy,T,Area_Net,t_Area_Net,not_equal,False,5000,True,Healthy,9,12,0.00757465830398676,0.00274328286363286,0.0173927807778058,3.32164843052046,2.7950696859898505,3.836703470511067,8.404849245838143,4.876503430564009,10.360065035790514,0.9075666666666667,0.8333333333333334,0.9166666666666666,0.9999555555555555,1.0,1.0,0.9513004893657068,0.9090909090909091,0.9565217391304348,0.963937037037037,0.8796296296296297,0.9907407407407407
aggregated_BottomRight_xy,T,Area_Hull,t_Area_Hull,not_equal,False,5000,True,Healthy,9,12,0.008416347537483122,0.0022529367063423805,0.020616816536245315,3.2797338674115277,2.6944481730617857,3.9349198852875324,15.16776529365769,9.492621377276164,26.579056381401607,0.8809166666666666,0.75,0.9166666666666666,0.9940444444444445,0.8888888888888888,1.0,0.9338557026162242,0.8571428571428571,0.9565217391304348,0.9326537037037036,0.851851851851852,0.9537037037037037
aggregated_BottomRight_xy,T,Solidity,t_Solidity,not_equal,False,5000,False,Healthy,9,12,0.24994726395141406,0.08201211573551521,0.5535188703877456,1.274863660773831,0.6094071519047843,1.9204344507078082,0.47116328498945714,0.29155734041434467,0.7095478144022579,0.9309333333333334,0.75,1.0,0.47971111111111114,0.3333333333333333,0.6666666666666666,0.8005671481856355,0.72,0.8571428571428571,0.6196333333333334,0.5277777777777778,0.7037037037037037
aggregated_BottomRight_xy,T,Distance,t_Distance,not_equal,False,5000,True,Healthy,9,12,0.010865267269931575,0.0025736612240363555,0.029401516223805428,3.0712735711268486,2.4461403660091596,3.7162154697067287,9.869306811869134,6.890210483792409,13.109467463127302,0.7185,0.5833333333333334,0.9166666666666666,0.9735777777777778,0.7777777777777778,1.0,0.8242089938462847,0.7368421052631579,0.9090909090909091,0.8464833333333334,0.7685185185185185,0.9259259259259259
aggregated_BottomRight_xy,T,Compact,t_Compact,not_equal,False,5000,False,Healthy,9,12,0.2602280831898641,0.12709349382021531,0.44955472080176667,1.1988191367492478,0.7807250575831108,1.6104379160370212,0.1273947421504255,0.08280124060946178,0.19573296684621638,0.9519833333333332,0.75,1.0,0.6631111111111111,0.5555555555555556,0.7777777777777778,0.8624967733237038,0.782608695652174,0.8888888888888888,0.7803537037037037,0.7222222222222222,0.8240740740740742
aggregated_BottomRight_xy,T,Angle,t_Angle,not_equal,False,5000,False,ACM,9,12,0.6491904623467893,0.16219160440714,0.9831436686666045,-0.08955700118308293,-0.8005602936420154,1.4692942474172066,-78.22873235924432,-93.15432264581982,-68.37117385859165,0.6384888888888889,0.3333333333333333,1.0,0.6524388888888889,0.2222222222222222,0.9166666666666666,0.6296021959279269,0.46153846153846156,0.8,0.5274537037037037,0.4444444444444444,0.6203703703703703
aggregated_BottomRight_xy,QRS,Area_Net,qrs_Area_Net,not_equal,False,5000,True,Healthy,9,12,0.019310917254256064,0.010465771323822618,0.035321017867478106,2.757497202566779,2.3940352986703677,3.065990331143421,94.54166886625809,40.28038229512631,213.63222900423597,0.5770333333333333,0.5,0.6666666666666666,0.9777777777777777,0.8888888888888888,1.0,0.7213959922529124,0.6666666666666666,0.8,0.7767685185185185,0.7222222222222222,0.8333333333333334
aggregated_BottomRight_xy,QRS,Area_Hull,qrs_Area_Hull,not_equal,False,5000,True,Healthy,9,12,0.02014757536379049,0.010585618224974525,0.03763413252058879,2.734431549630324,2.3566733049325546,3.057305517565944,125.15554174839983,54.08266847741869,230.82249996987116,0.548,0.5,0.6666666666666666,0.9914888888888889,0.8888888888888888,1.0,0.703126683405111,0.6666666666666666,0.8,0.7631185185185185,0.7037037037037037,0.8240740740740741
aggregated_BottomRight_xy,QRS,Solidity,qrs_Solidity,not_equal,False,5000,False,Healthy,9,12,0.2884330325597402,0.05629269435111485,0.7768183952166821,1.2054152996937686,0.27949825869299255,2.0981726391531987,0.8373448688473496,0.6290058072540481,0.9579131884921479,0.7408333333333333,0.4166666666666667,0.9166666666666666,0.6740444444444444,0.4444444444444444,1.0,0.7407034915558024,0.5555555555555556,0.8275862068965517,0.6540314814814816,0.5185185185185185,0.787037037037037
aggregated_BottomRight_xy,QRS,Distance,qrs_Distance,not_equal,False,5000,True,Healthy,9,12,0.007413513905400046,0.0023697852416360117,0.018438989030155267,3.214710278182265,2.651300099627307,3.7730732824975033,17.704793767324773,13.62067995299035,37.92677391352933,0.8052333333333334,0.5,0.9166666666666666,0.8351111111111109,0.6666666666666666,1.0,0.8304973493165125,0.6666666666666666,0.9166666666666666,0.8327611111111112,0.7592592592592593,0.888888888888889
aggregated_BottomRight_xy,QRS,Compact,qrs_Compact,not_equal,False,5000,False,Healthy,9,12,0.485280992611075,0.21423548509651183,0.8589947360887926,0.7392308487515765,0.17846667999832047,1.2857870286363677,0.18438966594018297,0.06887480370081747,0.3545977072055162,0.6577444444444445,0.25,1.0,0.64365,0.2222222222222222,0.8888888888888888,0.6726925994249824,0.375,0.782608695652174,0.5883462962962963,0.5,0.6759259259259259
aggregated_BottomRight_xy,QRS,Angle,qrs_Angle,not_equal,False,5000,False,Healthy,9,12,0.5723586234927708,0.037258274469815535,0.9802910806817121,0.4167956238392584,-0.8441829140201454,2.2877356089142995,-60.19392526008862,-98.45634230201611,83.98250798658461,0.7143555555555555,0.1111111111111111,1.0,0.6316777777777778,0.2222222222222222,1.0,0.6701866648384223,0.2,0.8571428571428571,0.5819351851851852,0.36111111111111105,0.7870370370370371
aggregated_BottomRight_xy,ST,Area_Net,st_Area_Net,not_equal,False,5000,False,Healthy,9,12,0.2944402067650206,0.01939536013023706,0.9312295011452492,1.2676659382119895,-0.5273294068206034,2.678318598876873,13.807208544194417,-0.8563294934529443,51.47769997682692,0.5725222222222223,0.25,1.0,0.8308666666666668,0.25,1.0,0.6491112716408599,0.4,0.8333333333333334,0.6302629629629629,0.43518518518518523,0.8055555555555556
aggregated_BottomRight_xy,ST,Area_Hull,st_Area_Hull,not_equal,False,5000,False,Healthy,9,12,0.2693062348144069,0.022640795707162525,0.9181952767426078,1.342738397510696,-0.16871923746922496,2.538284459315199,19.006127955225878,-0.04817811421756104,60.921161594950824,0.6039444444444444,0.3333333333333333,1.0,0.8157277777777779,0.3333333333333333,1.0,0.6766377883002204,0.47058823529411764,0.8333333333333334,0.647387037037037,0.462962962962963,0.7965277777777745
